monkeypox-2500_1_LEFT	monkeypox-2500_1_RIGHT
monkeypox-2500_10_LEFT	monkeypox-2500_10_RIGHT
monkeypox-2500_11_LEFT	monkeypox-2500_11_RIGHT
monkeypox-2500_12_LEFT	monkeypox-2500_12_RIGHT
monkeypox-2500_13_LEFT	monkeypox-2500_13_RIGHT
monkeypox-2500_14_LEFT	monkeypox-2500_14_RIGHT
monkeypox-2500_15_LEFT	monkeypox-2500_15_RIGHT
monkeypox-2500_16_LEFT	monkeypox-2500_16_RIGHT
monkeypox-2500_17_LEFT	monkeypox-2500_17_RIGHT
monkeypox-2500_18_LEFT	monkeypox-2500_18_RIGHT
monkeypox-2500_19_LEFT	monkeypox-2500_19_RIGHT
monkeypox-2500_2_LEFT	monkeypox-2500_2_RIGHT
monkeypox-2500_20_LEFT	monkeypox-2500_20_RIGHT
monkeypox-2500_21_LEFT	monkeypox-2500_21_RIGHT
monkeypox-2500_22_LEFT	monkeypox-2500_22_RIGHT
monkeypox-2500_23_LEFT	monkeypox-2500_23_RIGHT
monkeypox-2500_24_LEFT	monkeypox-2500_24_RIGHT
monkeypox-2500_25_LEFT	monkeypox-2500_25_RIGHT
monkeypox-2500_26_LEFT	monkeypox-2500_26_RIGHT
monkeypox-2500_27_LEFT	monkeypox-2500_27_RIGHT
monkeypox-2500_28_LEFT	monkeypox-2500_28_RIGHT
monkeypox-2500_29_LEFT	monkeypox-2500_29_RIGHT
monkeypox-2500_3_LEFT	monkeypox-2500_3_RIGHT
monkeypox-2500_30_LEFT	monkeypox-2500_30_RIGHT
monkeypox-2500_31_LEFT	monkeypox-2500_31_RIGHT
monkeypox-2500_32_LEFT	monkeypox-2500_32_RIGHT
monkeypox-2500_33_LEFT	monkeypox-2500_33_RIGHT
monkeypox-2500_34_LEFT	monkeypox-2500_34_RIGHT
monkeypox-2500_35_LEFT	monkeypox-2500_35_RIGHT
monkeypox-2500_36_LEFT	monkeypox-2500_36_RIGHT
monkeypox-2500_37_LEFT	monkeypox-2500_37_RIGHT
monkeypox-2500_38_LEFT	monkeypox-2500_38_RIGHT
monkeypox-2500_39_LEFT	monkeypox-2500_39_RIGHT
monkeypox-2500_4_LEFT	monkeypox-2500_4_RIGHT
monkeypox-2500_40_LEFT	monkeypox-2500_40_RIGHT
monkeypox-2500_41_LEFT	monkeypox-2500_41_RIGHT
monkeypox-2500_42_LEFT	monkeypox-2500_42_RIGHT
monkeypox-2500_43_LEFT	monkeypox-2500_43_RIGHT
monkeypox-2500_44_LEFT	monkeypox-2500_44_RIGHT
monkeypox-2500_45_LEFT	monkeypox-2500_45_RIGHT
monkeypox-2500_46_LEFT	monkeypox-2500_46_RIGHT
monkeypox-2500_47_LEFT	monkeypox-2500_47_RIGHT
monkeypox-2500_48_LEFT	monkeypox-2500_48_RIGHT
monkeypox-2500_49_LEFT	monkeypox-2500_49_RIGHT
monkeypox-2500_5_LEFT	monkeypox-2500_5_RIGHT
monkeypox-2500_50_LEFT	monkeypox-2500_50_RIGHT
monkeypox-2500_51_LEFT	monkeypox-2500_51_RIGHT
monkeypox-2500_52_LEFT	monkeypox-2500_52_RIGHT
monkeypox-2500_53_LEFT	monkeypox-2500_53_RIGHT
monkeypox-2500_54_LEFT	monkeypox-2500_54_RIGHT
monkeypox-2500_55_LEFT	monkeypox-2500_55_RIGHT
monkeypox-2500_56_LEFT	monkeypox-2500_56_RIGHT
monkeypox-2500_57_LEFT	monkeypox-2500_57_RIGHT
monkeypox-2500_58_LEFT	monkeypox-2500_58_RIGHT
monkeypox-2500_59_LEFT	monkeypox-2500_59_RIGHT
monkeypox-2500_6_LEFT	monkeypox-2500_6_RIGHT
monkeypox-2500_60_LEFT	monkeypox-2500_60_RIGHT
monkeypox-2500_61_LEFT	monkeypox-2500_61_RIGHT
monkeypox-2500_62_LEFT	monkeypox-2500_62_RIGHT
monkeypox-2500_63_LEFT	monkeypox-2500_63_RIGHT
monkeypox-2500_64_LEFT	monkeypox-2500_64_RIGHT
monkeypox-2500_65_LEFT	monkeypox-2500_65_RIGHT
monkeypox-2500_66_LEFT	monkeypox-2500_66_RIGHT
monkeypox-2500_67_LEFT	monkeypox-2500_67_RIGHT
monkeypox-2500_68_LEFT	monkeypox-2500_68_RIGHT
monkeypox-2500_69_LEFT	monkeypox-2500_69_RIGHT
monkeypox-2500_7_LEFT	monkeypox-2500_7_RIGHT
monkeypox-2500_70_LEFT	monkeypox-2500_70_RIGHT
monkeypox-2500_71_LEFT	monkeypox-2500_71_RIGHT
monkeypox-2500_72_LEFT	monkeypox-2500_72_RIGHT
monkeypox-2500_73_LEFT	monkeypox-2500_73_RIGHT
monkeypox-2500_74_LEFT	monkeypox-2500_74_RIGHT
monkeypox-2500_75_LEFT	monkeypox-2500_75_RIGHT
monkeypox-2500_76_LEFT	monkeypox-2500_76_RIGHT
monkeypox-2500_77_LEFT	monkeypox-2500_77_RIGHT
monkeypox-2500_78_LEFT	monkeypox-2500_78_RIGHT
monkeypox-2500_79_LEFT	monkeypox-2500_79_RIGHT
monkeypox-2500_8_LEFT	monkeypox-2500_8_RIGHT
monkeypox-2500_80_LEFT	monkeypox-2500_80_RIGHT
monkeypox-2500_81_LEFT	monkeypox-2500_81_RIGHT
monkeypox-2500_82_LEFT	monkeypox-2500_82_RIGHT
monkeypox-2500_83_LEFT	monkeypox-2500_83_RIGHT
monkeypox-2500_84_LEFT	monkeypox-2500_84_RIGHT
monkeypox-2500_85_LEFT	monkeypox-2500_85_RIGHT
monkeypox-2500_86_LEFT	monkeypox-2500_86_RIGHT
monkeypox-2500_87_LEFT	monkeypox-2500_87_RIGHT
monkeypox-2500_88_LEFT	monkeypox-2500_88_RIGHT
monkeypox-2500_9_LEFT	monkeypox-2500_9_RIGHT
